path	primary_phase	secondary_phases	disposition	evidence_refs	findings_refs	notes
apps/backend/src/credits/__tests__/payout-builder.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/credits/__tests__/payout-compensation.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/credits/__tests__/pending-payouts.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/credits/__tests__/refunds.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/credits/__tests__/withdrawals.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/credits/accrue-interest.ts	12	07,10,11,13,18	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain implementation covered by paired source/test inventory and domain slice run
apps/backend/src/credits/adjustments.ts	12	07,10,11,13,18	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain implementation covered by paired source/test inventory and domain slice run
apps/backend/src/credits/interest-scheduler.ts	13	09,10,11,12,17,19	reviewed-with-finding	phase 13; backend-domain-slice-tests.txt	A4-025	Scheduler marks started before first async tick; health false-negative risk filed; backend domain slice evidence refreshed
apps/backend/src/credits/ledger-invariant.ts	12	07,10,11,13,18	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain implementation covered by paired source/test inventory and domain slice run
apps/backend/src/credits/liabilities.ts	12	07,10,11,13,18	reviewed-no-finding	phase 10; backend-domain-slice-tests.txt		Outstanding liability reader reviewed; no additional finding; backend domain slice evidence refreshed
apps/backend/src/credits/payout-asset.ts	12	07,10,11,13,18	reviewed-no-finding	phase 10; backend-domain-slice-tests.txt		LOOP payout asset mapping reviewed; no additional finding; backend domain slice evidence refreshed
apps/backend/src/credits/payout-builder.ts	12	07,10,11,13,18	reviewed-no-finding	phase 10; backend-domain-slice-tests.txt		Payout intent builder and memo generation reviewed; no additional finding; backend domain slice evidence refreshed
apps/backend/src/credits/payout-compensation.ts	12	07,10,11,13,18	reviewed-no-finding	phase 10; backend-domain-slice-tests.txt		Payout compensation primitive reviewed; no additional finding; backend domain slice evidence refreshed
apps/backend/src/credits/pending-payouts-admin.ts	12	07,10,11,13,18	reviewed-no-finding	phase 10; backend-domain-slice-tests.txt		Admin pending-payout read queries reviewed; no additional finding; backend domain slice evidence refreshed
apps/backend/src/credits/pending-payouts-transitions.ts	12	07,10,11,13,18	reviewed-with-finding	phase 12; backend-domain-slice-tests.txt	A4-024	Payout confirmation reviewed; no balancing debit for order-cashback payouts; backend domain slice evidence refreshed
apps/backend/src/credits/pending-payouts-user.ts	12	07,10,11,13,18	reviewed-no-finding	phase 10; backend-domain-slice-tests.txt		User pending-payout read queries reviewed; no additional finding; backend domain slice evidence refreshed
apps/backend/src/credits/pending-payouts.ts	12	07,10,11,13,18	reviewed-no-finding	phase 10; backend-domain-slice-tests.txt		Pending-payout queue repo reviewed; no additional finding; backend domain slice evidence refreshed
apps/backend/src/credits/refunds.ts	12	07,10,11,13,18	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain implementation covered by paired source/test inventory and domain slice run
apps/backend/src/credits/withdrawals.ts	12	07,10,11,13,18	reviewed-with-finding	phase 12; backend-domain-slice-tests.txt	A4-024	Withdrawal debit pattern compared against missing order-cashback payout debit; backend domain slice evidence refreshed
apps/backend/src/ctx/__tests__/operator-pool.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/ctx/operator-pool.ts	05	08,13,16,17,18	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain implementation covered by paired source/test inventory and domain slice run
apps/backend/src/db/__tests__/orders-schema.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/db/__tests__/pending-payouts-schema.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/db/__tests__/users.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/db/client.ts	11	12,18,20	reviewed-with-finding	phase 11; health-orchestrator-db-gaps.txt; backend-domain-slice-tests.txt	A4-023,A4-032	Runtime migration packaging and missing health DB readiness path reviewed; backend domain slice evidence refreshed
apps/backend/src/db/migrations/0000_initial_schema.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0001_auth_tables.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0002_loop_orders.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0003_watcher_cursors.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0004_orders_redemption.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0005_user_identities.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0006_users_home_currency.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0007_orders_charge_columns.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0008_orders_loop_asset_payment.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0009_users_stellar_address.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0010_pending_payouts.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0011_admin_idempotency_keys.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0012_credit_transactions_period_cursor.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0013_ledger_constraints.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0014_credit_tx_currency_check.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0015_credit_tx_reason.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0016_cashback_config_audit_trigger_guard.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		Audit trigger/function guard migration present and journaled
apps/backend/src/db/migrations/0017_user_credits_primary_key.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0018_pending_payouts_generalise.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0019_social_id_token_replay_guard.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0020_users_email_unique.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0021_orders_currency_check.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0022_credit_tx_withdrawal_unique.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0023_orders_idempotency_key.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0024_pending_payouts_to_address_format.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0025_user_identities_and_orders_db_checks.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0026_orders_sweep_aggregate_indexes.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0027_pending_payouts_user_created_index.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/0028_pending_payouts_compensation_and_withdrawal_uniqueness.sql	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		SQL migration present and journaled
apps/backend/src/db/migrations/meta/0000_snapshot.json	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		Snapshot file present; handwritten SQL workflow relies on current journal parity
apps/backend/src/db/migrations/meta/_journal.json	11	12,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		Journal entries match current SQL migration inventory through 0028
apps/backend/src/db/schema.ts	11	12,18,20	reviewed-with-finding	phase 06; loop-openapi-runtime-drift.txt; loop-order-denomination-validation.txt; web-loop-payment-method-gap.txt; dsr-delete-payout-address-retention.txt; backend-domain-slice-tests.txt	A4-012,A4-016,A4-017,A4-040,A4-042	Refresh-token rotation schema issue plus Loop order payment-method/amount CHECK coverage reviewed; payment-method enum supports rails not exposed by primary UI; retained payout destination address schema reviewed for DSR retention; backend domain slice evidence refreshed
apps/backend/src/db/users.ts	11	12,18,20	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain implementation covered by paired source/test inventory and domain slice run
apps/backend/src/discord.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/discord/admin-audit.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/discord/monitoring-asset-drift.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/discord/monitoring-circuit-breaker.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/discord/monitoring-ctx-schema-drift.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/discord/monitoring-stuck-sweepers.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/discord/monitoring.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/discord/notifiers-catalog.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/discord/orders.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/discord/shared.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/env.ts	05	06,07,08,09,16,17,18	reviewed-with-finding	A4-018,A4-034,A4-037	phase 10; e2e-real-workflow-env-fails.txt; loop-native-email-provider-gap.txt	Stellar issuer/operator env validation, required DATABASE_URL workflow mismatch, and native-auth email config gap reviewed
apps/backend/src/health.ts	19	13,17,18	reviewed-with-finding	health-orchestrator-db-gaps.txt	A4-032,A4-033	Health handler lacks DB probe and returns 200 for degraded body
apps/backend/src/images/__tests__/proxy.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/images/proxy.ts	05	08,13,16,17,18	reviewed-with-finding	phase-08-public-api notes; image-openapi-status-drift.txt; backend-domain-slice-tests.txt	A4-014	Image proxy SSRF/cache/size/status behavior reviewed; OpenAPI 500 drift filed; backend domain slice evidence refreshed
apps/backend/src/images/ssrf-guard.ts	05	08,13,16,17,18	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain implementation covered by paired source/test inventory and domain slice run
apps/backend/src/index.ts	13	09,10,11,12,17,19	reviewed-with-finding	A4-023,A4-025,A4-032,A4-034	phase 11; phase 13; health-orchestrator-db-gaps.txt; e2e-real-workflow-env-fails.txt	Startup migration, worker-health startup, boot-only DB readiness, and manual workflow startup env reviewed
apps/backend/src/instrument.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/kill-switches.ts	03	05,11,18,20	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/logger.ts	19	13,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/merchants/__tests__/handler.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/merchants/__tests__/sync.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/merchants/cashback-rate-handlers.ts	05	08,13,16,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/merchants/handler.ts	05	08,13,16,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/merchants/sync-interval.ts	05	08,13,16,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/merchants/sync-upstream.ts	05	08,13,16,17,18	reviewed-with-finding	loop-order-denomination-validation.txt; backend-infra-merchant-slice-tests.txt	A4-017	Merchant denomination mapping reviewed as source for backend order validation; backend infra/merchant slice evidence refreshed
apps/backend/src/merchants/sync.ts	13	09,10,11,12,17,19	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/metrics.ts	19	13,17,18	reviewed-with-finding	A4-011	phase 05	Colon-delimited metric key corrupts parameterized route labels
apps/backend/src/middleware/access-log.ts	05	06,07,08,09,16,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/middleware/body-limit.ts	05	06,07,08,09,16,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/middleware/cache-control.ts	05	06,07,08,09,16,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/middleware/cors.ts	05	06,07,08,09,16,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/middleware/kill-switch.ts	05	06,07,08,09,16,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/middleware/probe-gate.ts	05	06,07,08,09,16,17,18	reviewed-no-finding	observability-token-doc-drift.txt; backend-infra-merchant-slice-tests.txt		Probe-gate behavior verified; code/env docs are correct, development guide drift filed separately; backend infra/merchant slice evidence refreshed
apps/backend/src/middleware/rate-limit.ts	05	06,07,08,09,16,17,18	reviewed-with-finding	phase 05; backend-infra-merchant-slice-tests.txt	A4-009	Cross-route shared counter finding filed; backend infra/merchant slice evidence refreshed
apps/backend/src/middleware/request-context.ts	05	06,07,08,09,16,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/middleware/request-counter.ts	05	06,07,08,09,16,17,18	reviewed-with-finding	phase 05; backend-infra-merchant-slice-tests.txt	A4-011	Parameterized route metric evidence captured; backend infra/merchant slice evidence refreshed
apps/backend/src/middleware/secure-headers.ts	05	06,07,08,09,16,17,18	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		Backend infra/merchant file covered by focused infra and merchant slice run
apps/backend/src/migrate-cli.ts	03	05,11,18,20	reviewed-with-finding	A4-023	phase 11	Migration-only release entrypoint calls runtime path missing packaged assets
apps/backend/src/observability-handlers.ts	19	13,17,18	reviewed-with-finding	A4-011,A4-036	phase 05; public-doc-current-feature-drift.txt	Metric label split corrupts route/status output; /metrics implementation contradicts roadmap unchecked item
apps/backend/src/openapi.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-asset-circulation.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-asset-drift-state.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-audit-tail.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-cashback-config-csv.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-cashback-config-history.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-cashback-config-upsert.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-cashback-config.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-cashback-realization.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-credit-writes.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-csv-exports-cashback.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-csv-exports-raw-rows.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-csv-exports-treasury.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-csv-exports.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-dashboard-cluster-stuck-rows.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-dashboard-cluster.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-fleet-monthly-credit-csvs.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-fleet-monthly-merchants-flywheel.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-fleet-monthly-payouts.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-fleet-monthly-recycling-activity.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-fleet-monthly-user-cashback-drill.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-fleet-monthly.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-misc-reads.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-operator-fleet-per-operator.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-operator-fleet.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-operator-mix.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-ops-tail-discord-mgmt.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-ops-tail.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-order-cluster-drills.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-order-cluster.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-payouts-by-asset.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-payouts-cluster-writes.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-payouts-cluster.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-payouts-settlement-lag.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-per-merchant-drill-time-axis.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-per-merchant-drill.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-per-merchant-payment-method-share.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-per-user-drill.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-supplier-spend.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-treasury-assets.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-treasury-credit-flow.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-user-cluster-drill.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-user-cluster.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-user-operator-mix.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-user-search.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin-withdrawal-write.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/admin.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/auth-social.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/auth.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/clusters.ts	16	05,06,07,08,09,10,14,21	reviewed-with-finding	phase-08-public-api notes; image-openapi-status-drift.txt; openapi-route-parity.txt	A4-014	Cluster/image OpenAPI reviewed; image 500 response absent from spec; OpenAPI route parity refreshed
apps/backend/src/openapi/health.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/merchants-cashback-rates.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
apps/backend/src/openapi/merchants.ts	16	05,06,07,08,09,10,14,21	reviewed-no-finding	openapi-route-parity.txt		OpenAPI registerPath file covered by runtime route parity scanner
